Country,Currency,Code,Start date,End date,Conversion,Note
IM,Pound Sterling,GBP,1694-07-27,,,
IT,Italian Lira,ITL,1862-08-24,28/02/2002,1 ITL = 1 FRG,
IT,Euro,EUR,01/01/1999,,1 EUR = 1936.27 ITL,
XK,Ottoman Empire Lira,XOL,1844,1913,,Ottoman Empire
XK,Serbian Dinar (Pre-World War I),SRD,1913,1916,1 SRD ≈ 0.041 XOL,Serbia
XK,Austro-Hungarian Kronen,ATK,1916,12/11/1918,1 ATK = 0.5 ATG,Austro-Hungarian occupation
XK,Yugoslavian Kronen,YUK,12/11/1918,1919,1 YUK = 1 ATK = 0.25 SRD,Yugoslavia
XK,Yugoslavian Dinar (Pre-World War II),YUS,25/12/1918,17/04/1941,1 YUS = 4 YUK,Yugoslavia
XK,Italian Lira,ITL,17/04/1941,1943,1 ITL = 100/38 YUS,Italian occupation
XK,Old Lev,BGJ,17/04/1941,1944,1 BGJ = 5/8 YUS,Bulgarian occupation
XK,Serbian Dinar (World War II),SRW,17/04/1941,30/04/1945,1 SRW = 0.38 ITL = 0.05 DER = 1 YUS = 1.6 BGJ,German occupation
XK,Yugoslav Federation Dinar,YUF,30/04/1945,31/12/1965,1 YUF = 20 SRW = 20 YUS,Yugoslavia
XK,"Yugoslav ""Hard"" Dinar",YUD,01/01/1966,01/01/1990,1 YUD = 100 YUF,Yugoslavia
XK,"Yugoslav ""Convertible"" Dinar",YUN,01/01/1990,01/07/1992,"1 YUN = 10,000 YUD",Yugoslavia
XK,"Yugoslav ""Reformed"" Dinar",YUR,01/07/1992,01/10/1993,1 YUR = 10 YUN,Serbia and Montenegro
XK,"Yugoslav ""October"" Dinar",YUO,01/10/1993,01/01/1994,"1 YUO = 1,000,000 YUR",Serbia and Montenegro
XK,"Yugoslav ""1994"" Dinar",YUG,01/01/1994,24/01/1994,"1 YUG = 1,000,000,000 YUO",Serbia and Montenegro
XK,New Dinar,YUM,24/01/1994,03/09/1999,"1 YUM = 1 DEM ≈ 13,000,000 YUG",Serbia and Montenegro
XK,Deutsche Mark,DEM,03/09/1999,09/03/2002,1 DEM = 5.9908 YUM,
XK,Euro,EUR,01/01/2002,,1 EUR = 1.95883 DEM,
LV,Russian Paper Ruble,RUP,1843-06-01,18/11/1918,,Russia
LV,Latvian Ruble (Pre-World War II),LVB,18/11/1918,03/08/1922,1 LVB = 1 RUP,
LV,Latvian Lats (Pre-World War II),LVA,03/08/1922,03/08/1940,1 LVA = 50 LVB = 1 FRG,
LV,Soviet Gold Ruble,SUG,03/08/1940,31/07/1941,1 SUG = 1 LVA,USSR
LV,German Reichsmark,DER,31/07/1941,10/10/1944,1 DER = 10 SUG,German occupation (highly distorted exchange rate)
LV,Soviet Gold Ruble,SUG,10/10/1944,29/12/1947, ,USSR
LV,Soviet New Ruble,SUN,16/12/1947,31/12/1960,1 SUN = 10 SUG,USSR
LV,"Soviet ""Hard"" Ruble",SUR,01/01/1961,20/07/1992,1 SUR = 10 SUN,USSR
LV,Latvian Ruble,LVR,20/07/1992,17/10/1993,1 LVR = 1 SUR,
LV,Latvian Lats,LVL,28/06/1993,14/01/2014,1 LVL = 200 LVR,
LV,Euro,EUR,01/01/2014,,1 EUR = 0.702804 LVL,
LI,Austro-Hungarian Gulden,ATG,1867,1892-08-02,1 ATG = 2.5 FRG,
LI,Austro-Hungarian Kronen,ATK,1892-08-02,1898,1 ATK = 0.5 ATG,
LI,Liechtenstein Krone,LIK,1898,01/02/1921,1 LIK ≈ 1 ATK,
LI,Swiss Franc,CHF,01/02/1921,,"1 CHF ≈ 2,000 LIK",
LT,Russian Paper Ruble,RUP,1843-06-01,02/11/1918,,Russia
LT,Lithuanian Auksinas,LTA,02/11/1918,03/08/1922,1 LTA = 1 DEP = 2 RUP,
LT,Lithuanian Litas (Pre-World War II),LTB,09/08/1922,01/04/1941,1 LTB = 0.1 USD = 175 LTA,
LT,Soviet Gold Ruble,SUG,01/04/1941,31/07/1941,0.9 SUG = 1 LTB,USSR
LT,German Reichsmark,DER,31/07/1941,10/10/1944,1 DER = 10 SUG,German occupation (highly distorted exchange rate)
LT,Soviet Gold Ruble,SUG,10/10/1944,29/12/1947, ,USSR
LT,Soviet New Ruble,SUN,16/12/1947,31/12/1960,1 SUN = 10 SUG,USSR
LT,"Soviet ""Hard"" Ruble",SUR,01/01/1961,01/10/1992,1 SUR = 10 SUN,USSR
LT,Talonas,LTT,01/10/1992,25/06/1993,1 LTT = 1 SUR,
