No.,Name,URL,Type
72,BBC News (2020a) Storm Gloria: Spain death toll rises to 13 with four missing. 23.1.2020,https://www.bbc.com/news/world-europe-51231064,News report
73,BBC News (2020b) Flooding: Looking back on the 1990 Towyn devastation. 26.2.2020,https://www.bbc.com/news/uk-wales-51630850,News report
74,BBC News (2021) Laxey flooding: Rock ramp proposed to replace weir. 8.4.2021,https://www.bbc.com/news/world-europe-isle-of-man-56676380,News report
75,BBC Romanian (2007) Intemperiile au provocat moartea a două persoane. 27.8.2007,https://www.bbc.co.uk/romanian/news/story/2007/08/printable/070827_ploi_victime.shtml,News report
76,"Becat, J. and Soutadé, G. (eds.) (1993) L'aiguat de 40. Inundacions catastròfiques i polítiques de prevenció a la Mediterrània nord-occidental. Actes del congrés de Vernet: ""Les inundacions d'octubre de 1940 a Catalunya: 50 anys després"", 18-20 October 1990, Generalitat de Catalunya, Barcelona.",http://hydrologie.org/ACT/Aiguat40/L_AIGUAT_DEL_40.pdf,Scientific paper
77,"Bednarczyk, S., Jarzębińska, T., Mackiewicz, S. and Wołoszyn, E. (2006) Vademecum ochrony przeciwpowodziowej. KZGW, Gdańsk.",http://www.kzgw.gov.pl/files/file/Edukacja/Vademecum_ochrony_przeciwpowodziowej.pdf,Book
78,Belgorage (2023) Almanach des orages jusque 2000,https://belgorage.be/dossier/almanach-des-orages-jusque-2000,Private webpage
79,Bélmegyer község (2020) Gátszakadás Hosszúfokon: Árvíz 1980.,https://www.belmegyer.hu/gatszakadas-hosszufokon-arviz-1980,Government webpage
80,"Betts, N. L. (1992) The North Antrim Flood of October 1990. Irish Geography, 25(2), 138-148.",doi:10.1080/00750779209478726,Scientific paper
81,BHIC (2021) De ramp van Nieuwkuijk in 1880,https://www.bhic.nl/integrated?mivast=235&mizig=315&miadt=235&miaet=1&micode=343&minr=10687738&miview=ldt,Private webpage
82,"Bielański, A. K. (1984) Materiały do historii powodzi w dorzeczu Górnej Wisły. Tom 30, Politechnika Krakowska im. Tadeusza Kościuszki, Kraków, Poland.",-,Book
83,Bijelo Polje (2013) OPŠTINSKI PLAN ZA ZAŠTITU I SPAŠAVANJE OD POPLAVA.,https://www.bijelopolje.co.me/images/pdf/plan.pdf,Government report
84,Bild (2020) Vor 50 Jahren: Saarbrücken „Land unter“. 12.5.2020.,https://www.bild.de/regional/saarland/saarland-news/vor-50-jahren-saarbruecken-land-unter-70603316.bild.html,News report
85,Biogeo (2017) Powódź w 1977 roku,http://www.biogeo.us.edu.pl/index.php/odra/14-powodz-w-1977-roku,Private webpage
86,"Biteau, H. and Bertrand, A. (2004) Les inondations du Rhone de 1993, 1994 & 2003 L'Inondation du Po de 1951. Projet axe Cindynique - Avril 2004",http://wwwv1.agora21.org/ari/doc2005/bertrand_biteau.pdf,Private webpage
87,Biznes spravochnik Struma (2014) 60 godini ot golyamoto navodnenie v Blagoevgrad. ,http://bsstruma.bg/news/21193/60-%D0%B3%D0%BE%D0%B4%D0%B8%D0%BD%D0%B8-%D0%BE%D1%82-%D0%B3%D0%BE%D0%BB%D1%8F%D0%BC%D0%BE%D1%82%D0%BE-%D0%BD%D0%B0%D0%B2%D0%BE%D0%B4%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5-%D0%B2-%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D0%B5%D0%B2%D0%B3%D1%80%D0%B0%D0%B4,Private webpage
88,"Black, A. R. and Bennett, A. M. (1995) Regional flooding in Strathclyde, December 1994. National River Flow Archive.",http://nrfa.ceh.ac.uk/sites/default/files/Regional_Flooding_in_Stratchclyde_Dec_1994.pdf,Government webpage
89,BLfU - Bayerisches Landesamt für Umwelt (2015) Schäden durch Hochwasser,http://www.lfu.bayern.de/wasser/hw_ereignisse/hochwasserschaeden/index.htm,Government webpage
90,"Blöschl, G., Nester, T., Komma, J., Parajka, J., and Perdigão, R. A. P. (2013) The June 2013 flood in the Upper Danube Basin, and comparisons with the 2002, 1954 and 1899 floods, Hydrol. Earth Syst. Sci., 17, 5197-5212",https://doi.org/10.5194/hess-17-5197-2013,Scientific paper
91,"BMLFUW (2004) Die Hochwasserereignisse im Jahre 2002 in Österreich. Abteilung VII/3 Wasserhaushalt, Februar 2004.",https://info.bml.gv.at/dam/jcr:237b2ce8-a089-4cdb-adea-8652c628dd4d/Hochwasser2002.pdf,Government report
92,BMLFUW (2015) Das Hochwasser in Österreich vom 10. bis 13. Juli 2005,https://www.bmlfuw.gv.at/wasser/wasser-oesterreich/wasserkreislauf/hydrograph_charakt_extrema/Hochwasser-Juli2005.html,Government webpage
93,BMLFUW (2017) Naturkatastrophen von 1958 und 1959,http://www.naturgefahren.at/karten/chronik/Katastrophen_oestr/Naturkata1958_1959.html,Government webpage
94,BMLFUW (2021a) Herbst-Katastrophen 1965 und 1966,https://www.naturgefahren.at/karten/chronik/Katastrophen_oestr/Katastrophen1965_66.html,Government webpage
95,BMLFUW (2021b) Hochwasser 1882 in Kärnten und Tirol,https://www.naturgefahren.at/karten/chronik/Katastrophen_oestr/HW1882.html,Government webpage
96,BMLFUW (2021c) Wildbach-Katastrophen 1895-1910,https://www.naturgefahren.at/karten/chronik/Katastrophen_oestr/Wildbach1895_1910.html,Government webpage
97,"Bogdani, M., Selenica, A. (1997) Catastrophic floods and their risk in the rivers of Albania. In: Leavesley, G., Lins, H., Nobilis, F., Parker, R., Schneider, V., Ven de Van, F. (Eds.), Destructive Water: Water Caused Natural Disasters, Their Abatement and Control. IAHS Publications, Wallingford, UK, 83-85",https://books.google.de/books?hl=en&lr=&id=8nbLGQw5fckC&oi=fnd&pg=PA83&ots=Njy1HcG9Pf&sig=_V7GyQUkxdPqdg8eVAb-7uW7K3E&redir_esc=y#v=onepage&q&f=false,Scientific paper
98,"Borga, M., Boscolo, P., Zanon, F., and Sangati, M. (2007) Hydrometeorological analysis of the August 29, 2003 flash flood in the eastern Italian Alps. Journal of Hydrometeorology, 8(5), 1049–1067.",doi: 10.1175/JHM593.1,Scientific paper
99,"Bošnjak, G. (2018) Režim rijeke Drave u Hrvatskoj s obzirom na poplave. BSc Thesis,  University of Zagreb, Faculty of Geotechnical Engineering.",https://repozitorij.gfv.unizg.hr/islandora/object/gfv%3A350/datastream/PDF/view,Book
100,"Boudou, M. (2015) Approche multidisciplinaires pour la caractérisation d’inondations remarquables, thèse de Géographie et Aménagement de l’Espace, Université Paul-Valéry Montpellier III, 462p. + 344 p. (Annexes).",https://tel.archives-ouvertes.fr/tel-01305937/document,Book
101,"Boudou, M., Lang, M., Vinet, F., Coeur, D. (2016) Lessons from analysing mortality from six major flood events in France (1930-2010). E3S Web of Conferences, 7, 06005.",https://doi.org/10.1051/e3sconf/20160706005,Scientific paper
102,"Brakenridge, G. R. (2017) Global Active Archive of Large Flood Events, Dartmouth Flood Observatory, University of Colorado",http://floodobservatory.colorado.edu/Archives/index.html.,International disaster database
103,"Brázdil, R., Chromá, K., Řehoř, J., Zahradníček, P., Dolák, L., Řezníčková, L., Dobrovolný, P. (2019) Potential of documentary evidence to study fatalities of hydrological and meteorological events in the Czech Republic. Water, 11, 2014.",https://doi.org/10.3390/w11102014,Scientific paper
104,"Brázdil, R., et al. (2005) Historické a současné povodně v České Republice. Masarykova univerzita v Brně, Ceský hydrometeorologický ústav v Praze, Brno – Praha.",https://www.researchgate.net/publication/270877334_Historicke_a_soucasne_povodne_v_Ceske_republice,Book
105,"Brázdil, R., Řezníčková, L., Valášek, H., Havlíček, M., Dobrovolný, P., Soukalová, E., Řehánek, T., Skokanová, H. (2011) Fluctuations of floods if the River Morava (Czech Republic) in the 1691- 2009 period: Interactions of natural and anthropogenic factors. Hydrological Sciences Journal 56, 467–485.",https://doi.org/10.1080/02626667.2011.564175,Scientific paper
106,"Brazdova, M. and Riha, J. (2014) A simple model for the estimation of the number of fatalities due to floods in central Europe, Natural Hazards and Earth System Sciences, 14, 1663-1676.",doi:10.5194/nhess-14-1663-2014,Scientific paper
107,BRF Nachrichten (2009) Drei Personen in Luxemburg ertrunken,https://brf.be/regional/60372/,News report
108,"Brooks, N. (2012) The August 1912 floods in Norfolk. Weather, 67(8), 204-205.",doi:10.1002/wea.1926 ,Scientific paper
109,"Bundesamt für Wasserwirtschaft (1991) Ursachenanalyse der Hochwasser 1987. Ergebnisse der Untersuchungen. Mitteilungen des Bundesamtes für Wasserwirtschaft, Nr. 4.",http://www.gra-nat.ch/system/media/1847/original/Ursachenanalyse_der_Hochwasser_1987.pdf?1421162601,Government webpage
110,BWG - Bundesamt für Wasser und Geologie (2004) Sachseln: Drei Bäche neu gebettet - Hochwasserschutz Obwalden,http://www.hochwasserschutz-ow.ch/fileadmin/download/sachseln/BWG_Sachseln.pdf,Government report
111,"Bye, P. and Horner, M. (1998) Easter 1998 Floods: Final assessment by the Independent Review Team – Volume 1. Environment Agency, United Kingdom.",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/292915/geho0807bnay-e-e.pdf,Government report
112,"Caporali, E., Rinaldi, M., and Nicola Casagli, N. (2005) The Arno River Floods. Giornale di Geologia Applicata, 1, 177–192.",https://www.aigaa.org/public/GGA.2005-01.0-18.0018.pdf,Scientific paper
113,"Čekal, R. (Ed.) (2020) Povodně na území České republiky v červnu 2020. Český hydrometeorologický ústav.",https://www.chmi.cz/files/portal/docs/aktuality/2020/Cerven_2020.pdf,National weather service webpage
114,Česká televize (2010) Katastrofální povodeň v 19. století pobořila i Karlův most,http://www.ceskatelevize.cz/ct24/domaci/1319367-katastrofalni-povoden-v-19-stoleti-poborila-i-karluv-most,News report
115,"Český hydrometeorologický ústav (2006) Zpráva o povodni červen-červenec 2006 v Podhradí na Dyji. Brno, Czechia",https://www.chmi.cz/files/portal/docs/poboc/CB/pruvodce/povodnove_zpravy/br_2006_06.pdf,National weather service webpage
116,"Český hydrometeorologický ústav (2010) Hydrometeorologická zpráva o povodni ve dnech 16.-21. května 2010 a 2.-6. června 2010 v povodí Odry, Bečvy a horní Moravy. Ostrava-Poruba, Czechia.",https://www.chmi.cz/files/portal/docs/poboc/CB/pruvodce/povodnove_zpravy/os_2010_05.pdf,National weather service webpage
117,"Český hydrometeorologický ústav (2012) Zpráva o povodni červenec 2012. České Budějovice, Czechia.",https://www.chmi.cz/files/portal/docs/poboc/CB/pruvodce/povodnove_zpravy/cb_2012_07.pdf,National weather service webpage
118,"Český hydrometeorologický ústav (2015) Zpráva o povodni leden 2015. České Budějovice, Czechia.",https://www.chmi.cz/files/portal/docs/poboc/CB/pruvodce/povodnove_zpravy/cb_2015_01.pdf,National weather service webpage
119,"Chatterton, J, Clarke, C, Daly, E, Dawks, S, Elding, C, Fenn, T, Hick, E, Miller, J, Morris, J, Ogunyoye, F, Salado R. (2016) The costs and impacts of the winter 2013 to 2014 floods. Environment Agency, Bristol, 275 pp. ",https://www.gov.uk/flood-and-coastal-erosion-risk-management-research-reports/the-costs-and-impacts-of-the-winter-2013-to-2014-floods,Government report
120,"Chatterton, J., Viavattene, C., Morris, J., Penning-Rowsell, E., Tapsell, S. (2010) The costs of the summer 2007 floods in England. Environment Agency, Bristol, UK, 51 pp. ",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/291190/scho1109brja-e-e.pdf,Government report
121,"Ciarmatori, L. (2007) Introduzione: Ie grandi piene del 1872 e la Commissione Brioschi. In: Ferrari, I. and Pellegrini, M. (eds.) Un Po di carte, 15-23.",http://www.idrologia.unimore.it/orlandini/web-archive/un%20po%20di%20carte/capitolo-1.pdf,Scientific paper
122,Civiline Sauga (2023) Potvynis,https://civsauga.lt/pavojus/potvynis/,Government webpage
123,CNR - Consiglio Nazionale delle Ricerche (2023) Sistema Informativo sulle Catastrofi Idrogeologiche,http://sici.irpi.cnr.it/index.htm,National disaster database
124,Confederación Hidrográfica del Segura (2017) CRONOLOGÍA DE RIADAS EN LA CUENCA DEL SEGURA,https://www.chsegura.es/chs/informaciongeneral/elorganismo/unpocodehistoria/riadas.html,Government webpage
125,"Consorcio de Compensación de Seguros (2014) Informe anual 2013. Ministerio de Economia y Competitividad, Madrid.",https://www.consorseguros.es/web/documents/10184/48069/IF_CCS_2013_Informe+Anual.pdf/7ff02ef6-c20b-4ce6-b14f-0b6fd908f39c,Insurer/reinsurer publication
126,"Consorcio de Compensación de Seguros (2015) Informe anual 2014. CCS, Madrid.",https://www.consorseguros.es/web/documents/10184/48069/INFORME_ANUAL_2014_CCS.pdf/6bda5423-1b1a-4f3d-a486-48f625282a18,Insurer/reinsurer publication
127,"Consorcio de Compensación de Seguros (2016) Informe anual 2015. CCS, Madrid.",https://www.consorseguros.es/web/documents/10184/25608/INFORME_ANUAL_2015_CCS.pdf/659baedb-b641-41d5-aeb6-e827fa3a1233,Insurer/reinsurer publication
128,"Consorcio de Compensación de Seguros (2017) Informe anual 2016. CCS, Madrid.",https://www.consorseguros.es/web/documents/10184/48069/INFORME_ANUAL_2016_CCS.pdf/a8f2a56e-ac53-44fb-8f8a-1b9c6bc27de1,Insurer/reinsurer publication
129,"Consorcio de Compensación de Seguros (2018) Informe anual 2017. CCS, Madrid.",https://www.consorseguros.es/web/documents/10184/48069/INFORME_ANUAL_2017.pdf/b3e01334-dc07-44bc-8550-7d40e37a1f28,Insurer/reinsurer publication
130,"Consorcio de Compensación de Seguros (2019) Informe anual 2018. CCS, Madrid.",https://www.consorseguros.es/web/documents/10184/48069/INFORME_ANUAL_2018_CCS_vok_12092019.pdf/60ac440b-2233-4b78-ad10-91fa5695a90a,Insurer/reinsurer publication
131,"Consorcio de Compensación de Seguros (2020) Informe anual 2019. CCS, Madrid.",https://www.consorseguros.es/web/documents/10184/48069/INFORME_ANUAL_2019CCS.pdf/c2d8562a-9f4b-4c65-be39-f0f98ef693a8,Insurer/reinsurer publication
132,"Consorcio de Compensación de Seguros (2022) ESTADÍSTICA. Riesgos Extraordinarios. Serie 1971-2021. CCS, Madrid.",https://www.consorseguros.es/web/documents/10184/44193/Estadistica_Riesgos_Extraordinarios_1971_2014/14ca6778-2081-4060-a86d-728d9a17c522,Insurer/reinsurer publication
133,Consortis (2021) Axiológisi tis apódosis kai tis dialeitourgikótitas ton métron parémvasis antiplimmyrikís prostasías stin periochí tis lekánis aporroís tou potamoú Strymóna. ,http://crossborderfloodprotection.eu/wp-content/uploads/2021/10/Delivelable_1_ALL_v4.pdf,Government report
134,"Corripio, J. G. and López-Moreno, J. I. (2017) Analysis and Predictability of the Hydrological Response of Mountain Catchments to Heavy Rain on Snow Events: A Case Study in the Spanish Pyrenees. Hydrology, 4(2), 20.",doi:10.3390/hydrology4020020,Scientific paper
135,"CRED - Centre for Research on the Epidemiology of Disasters  (2023) EM-DAT: The International Disaster Database, Université Catholique de Louvain, Brussels, Belgium",http://www.emdat.be/,International disaster database
136,Creta Live News (2021) Οι φονικές πλημμύρες του 1968 με τους έξι νεκρούς στην Κρήτη. 16.10.2021,https://www.cretalive.gr/istoria/oi-fonikes-plimmyres-toy-1968-me-toys-exi-nekroys-stin-kriti,News report
137,"Cuevas Tascón, G., Pascual Berghaenel, R., Callado Pallarés, A., Compte, M. (2018) Lluvias torrenciales en el Maresme, Barcelona (Oct-2016). In: Santos Burguete, C. (Ed.). Física del caos en la predicción meteorológica. Madrid: Agencia Estatal de Meteorología, 751-760. ",https://dx.doi.org/10.31978/014-18-009-X.49,Scientific paper
138,Cumbria County Council (2010) Cumbria Floods November 2009: An Impact Assessment,http://www.cumbria.gov.uk/eLibrary/Content/Internet/536/671/4674/4026717419.pdf,Government report
139,"Czaja, S. W. (2011). Powodzie w dorzeczu górnej Odry. Uniwersytet Śląski, Katowice, Poland.",-,Book
140,"Dáil Éireann (1958) Private Members' Business - Shannon Valley Flooding—Motion. Dáil Éireann debate - Wednesday, 5 Nov 1958. Vol. 171 No. 4",https://www.oireachtas.ie/en/debates/debate/dail/1958-11-05/58/,Government webpage
141,"Dáil Éireann (1993) Private Notice Questions. - Flood Relief Measures. Dáil Éireann debate - Tuesday, 15 Jun 1993. Vol. 432 No. 3.",https://www.oireachtas.ie/en/debates/debate/dail/1993-06-15/18/,Government webpage
142,Darik News (2014) Vŭzpomenanie za navodnenieto prez 1954 godina. 23.7.2014,https://dariknews.bg/regioni/blagoevgrad/vyzpomenanie-za-navodnenieto-prez-1954-godina-1300134,News report
143,"De Kraker, A. M. J. (2006) Flood events in the southwestern Netherlands and coastal Belgium, 1400–1953. Hydrological Sciences Journal, 51(5), 919-929.",doi: 10.1623/hysj.51.5.913,Scientific paper
144,de Volkskrant (1998) België beleeft zwaarste zondvloed in 70 jaar,https://www.volkskrant.nl/nieuws-achtergrond/belgie-beleeft-zwaarste-zondvloed-in-70-jaar~b92dff0c/,News report
145,"De Zolt, S., Lionello, P., Nuhu, A.,Tomasin, A. (2006)  The disastrous storm of 4 November 1966 on Italy, Nat. Hazards Earth Syst. Sci., 6, 861–879",https://doi.org/10.5194/nhess-6-861-2006,Scientific paper
146,Deia (2014) Un muerto en Izura y cuantiosos daños en Elizondo a causa de las trombas de agua. 5.7.2014,https://www.deia.eus/actualidad/sociedad/2014/07/05/muerto-izura-cuantiosos-danos-elizondo-5215090.html,News report
147,Delfi (2015) 2005. gada janvāra vētra Latvijā. ,https://www.delfi.lv/orkans-latvija-2005/,News report
148,Delfi (2017a) Didžiausi Lietuvos potvyniai: istorinėse nuotraukose – šiurpą keliantys vaizdai. 11.4.2017.,https://www.delfi.lt/projektai/ekosveikata/musu-aplinka/didziausi-lietuvos-potvyniai-istorinese-nuotraukose-siurpa-keliantys-vaizdai-74295596,News report
149,Delfi (2017b) Aukštaitijos sostinė skęsta: dėl potvynio svarstoma skelbti ekstremalią padėtj. 19.9.2017,https://www.delfi.lt/news/daily/lithuania/aukstaitijos-sostine-skesta-del-potvynio-svarstoma-skelbti-ekstremalia-padeti.d?id=75801617,News report
150,"Demurtas, F., Demurtas, L., Pendugiu, B., Turconi, L. (2007) Evento alluvionale del 6 dicembre 2004 in comune di Villagrande Strisaili (Ogliastra, Sardegna). Geoingegneria Ambientale e Mineraria, 44(3), 23-37",https://www.regione.sardegna.it/documenti/1_617_20211222120734.pdf,Scientific paper
151,Département du Var (2015) Le Programme d'Actions de Prévention du risque Inondation (PAPI). Le livret sur les crues historiques.,https://www.var.fr/documents/20142/110788/PAPI+le+livret+sur+les+crues+historiques.pdf/b4c0f5d4-5e52-f6ca-fdc1-b9aabba83482,Government report
152,"Der Spiegel (1978) Ländle unter. Der Spiegel, 22, 29.05.1978",http://www.spiegel.de/spiegel/print/d-40617885.html,News report
153,Des Pyrénées-Orientales (2014) Historique des inondations.,https://www.pyrenees-orientales.gouv.fr/Actions-de-l-Etat/Environnement-eau-risques-naturels-et-technologiques/Risques-naturels-et-technologiques/Les-risques-naturels/Risque-inondation/Le-risque-inondation-dans-les-P.O/historique,Government webpage
154,"Deutsche Rück (2005) Sturmdokumentation Deutschland 1997-2004. Deutsche Rückversicherung Aktiengesellschaft, Düsseldorf",https://www.deutscherueck.de/fileadmin/Downloads/Sturmdoku_1997_2004_web.pdf,Insurer/reinsurer publication
155,"Deutsche Rück (2006) Sturmdokumentation Deutschland 2005. Deutsche Rückversicherung Aktiengesellschaft, Düsseldorf",https://www.deutscherueck.de/fileadmin/Downloads/Sturmdoku_2005_web.pdf,Insurer/reinsurer publication
156,"Deutsche Rück (2007) Sturmdokumentation Deutschland 2006. Deutsche Rückversicherung Aktiengesellschaft, Düsseldorf",https://www.deutscherueck.de/fileadmin/Downloads/Sturmdoku_2006_web.pdf,Insurer/reinsurer publication
157,"Deutsche Rück (2009) Sturmdokumentation Deutschland 2008. Deutsche Rückversicherung Aktiengesellschaft, Düsseldorf",https://www.deutscherueck.de/fileadmin/Downloads/Sturmdoku_2008_web.pdf,Insurer/reinsurer publication
158,"Deutsche Rück (2010) Sturmdokumentation Deutschland 2009. Deutsche Rückversicherung Aktiengesellschaft, Düsseldorf",https://www.deutscherueck.de/fileadmin/Downloads/Sturmdoku_2009_web.pdf,Insurer/reinsurer publication
159,"Deutsche Rück (2011) Sturmdokumentation Deutschland 2010. Deutsche Rückversicherung Aktiengesellschaft, Düsseldorf",https://www.deutscherueck.de/fileadmin/Downloads/Sturmdoku_2010_web.pdf,Insurer/reinsurer publication
160,"Deutsche Rück (2012) Sturmdokumentation Deutschland 2011. Deutsche Rückversicherung Aktiengesellschaft, Düsseldorf",https://www.deutscherueck.de/fileadmin/Downloads/Sturmdoku_2011_web.pdf,Insurer/reinsurer publication
161,"Deutsche Rück (2016) Sturmdokumentation Deutschland 2015. Deutsche Rückversicherung Aktiengesellschaft, Düsseldorf",https://www.deutscherueck.de/fileadmin/Downloads/Sturmdoku_2015_web.pdf,Insurer/reinsurer publication
